# canonical	alpine	arch	fedora	void
git	git	git	git	git
curl	curl	curl	curl	curl
wget	wget	wget	wget	wget
bash	bash	bash	bash	bash
zsh	zsh	zsh	zsh	zsh
fish	fish	fish	fish	fish-shell
nano	nano	nano	nano	nano
vim	vim	vim	vim-enhanced	vim
neovim	neovim	neovim	neovim	neovim
fzf	fzf	fzf	fzf	fzf
ripgrep	ripgrep	ripgrep	ripgrep	ripgrep
fd-find	fd	fd	fd-find	fd
jq	jq	jq	jq	jq
rsync	rsync	rsync	rsync	rsync
tmux	tmux	tmux	tmux	tmux
screen	screen	screen	screen	screen
htop	htop	htop	htop	htop
ncdu	ncdu	ncdu	ncdu	ncdu
openssh-server	openssh	openssh	openssh-server	openssh
openssh-client	openssh-client	openssh-client	openssh	openssh
iproute2	iproute2	iproute2	iproute	iproute2
nmap	nmap	nmap	nmap	nmap
tcpdump	tcpdump	tcpdump	tcpdump	tcpdump
socat	socat	socat	socat	socat
zip	zip	zip	zip	zip
unzip	unzip	unzip	unzip	unzip
xz-utils	xz	xz	xz	xz
zstd	zstd	zstd	zstd	zstd
build-essential	build-base	base-devel	gcc	base-devel
make	make	make	make	make
cmake	cmake	cmake	cmake	cmake
pkg-config	pkgconf	pkgconf	pkgconf-pkg-config	pkgconf
python3	python3	python	python3	python3
python3-pip	py3-pip	python-pip	python3-pip	python3-pip
nodejs	nodejs	nodejs	nodejs	nodejs
npm	npm	npm	npm	npm
go	go	go	golang	golang
clang	clang	clang	clang	llvm
strace	strace	strace	strace	strace
lsof	lsof	lsof	lsof	lsof
